"user_id","activity_count"
"2163","687184"
"4652","553665"
"4","518316"
"31","465675"
"2615","420457"
"2160","409353"
"2530","388542"
"105897","374602"
"3546","355672"
"532","345334"
"2165","310247"
"1501","296159"
"4954","262041"
"1773","252403"
"1496","230179"
"4659","227350"
"541","211914"
"2166","211550"
"2671","207992"
"4044","176974"
"3329","175510"
"73109","170618"
"4832","164235"
"5187","153701"
"79586","153091"
"1837","152497"
"3539","151466"
"108718","133005"
"2372","127751"
"2882","127377"
"1506","123473"
"5132","115377"
"92319","109980"
"2175","109891"
"2483","109566"
"2482","108197"
"1303","104697"
"4730","100933"
"108932","97734"
"4140","97425"
"9556","95931"
"1722","94874"
"3519","93887"
"1193","91950"
"2167","90932"
"72924","88111"
"4609","86125"
"3621","85852"
"2411","85223"
"4456","85022"
"2762","84708"
"4784","82948"
"1878","81415"
"72948","79357"
"4511","78042"
"1617","76453"
"4869","76012"
"2475","75951"
"3987","72278"
"3342","72148"
"255","70646"
"3592","69049"
"73051","68823"
"2186","68435"
"2614","68040"
"72938","67065"
"1945","66286"
"1988","65813"
"73074","65109"
"1943","65018"
"2468","64679"
"108869","63536"
"5071","63064"
"1354","63046"
"1689","61503"
"2266","60418"
"1514","60407"
"4097","59824"
"2110","57602"
"1574","57593"
"4933","56612"
"1581","56357"
"2118","56340"
"4622","55882"
"1360","54856"
"3586","54845"
"105589","53772"
"105896","53188"
"2886","52998"
"1927","52939"
"4580","52699"
"1763","51906"
"3447","51303"
"1499","51021"
"396","50900"
"1579","49877"
"1775","49329"
"2503","49183"
"2900","49057"
"2895","48696"
"4427","48460"
"2425","48112"
"4351","47760"
"73038","46779"
"105900","46750"
"1905","46196"
"2880","45763"
"4280","45438"
"3055","45067"
"72871","44407"
"3548","43905"
"2657","43739"
"1622","43066"
"3070","43046"
"59","42978"
"2479","42895"
"5013","42697"
"2161","42575"
"1586","42041"
"1515","42008"
"3033","41720"
"4318","41559"
"1714","40344"
"4148","40271"
"3631","40107"
"2640","39745"
"4771","39661"
"5068","39629"
"1273","39539"
"98044","39435"
"106467","38704"
"2180","38616"
"1649","37288"
"4505","37196"
"3518","36928"
"2136","36382"
"1584","36102"
"83701","36025"
"2437","35706"
"3672","35513"
"3847","35510"
"4799","35302"
"2892","35271"
"1066","35160"
"4393","35078"
"72909","34772"
"1774","34496"
"2179","34495"
"2879","34469"
"2477","34195"
"1754","34121"
"4935","33974"
"1551","33932"
"1065","33925"
"3517","33862"
"3623","33541"
"2908","33540"
"916","33518"
"4239","33468"
"1380","33467"
"1270","33305"
"1942","33074"
"2486","32874"
"2839","32537"
"4838","31974"
"4388","31895"
"72967","31519"
"73023","31008"
"3031","30738"
"4062","30577"
"3717","30490"
"394","30276"
"3223","30212"
"4179","29913"
"2336","29826"
"2250","29723"
"2394","29666"
"2647","29623"
"72926","29621"
"3918","29599"
"1686","29484"
"109274","29345"
"81575","29340"
"4228","29329"
"1384","29152"
"876","29127"
"83535","29077"
"1201","29042"
"1950","28920"
"3981","28905"
"3922","28894"
"3793","28852"
"2822","28711"
"1772","28594"
"2898","28385"
"103710","28175"
"2481","28040"
"2176","27596"
"2763","27452"
"531","27432"
"4072","27325"
"1929","27148"
"109218","26946"
"3045","26936"
"1829","26669"
"4523","26626"
"3515","26434"
"1839","26429"
"2659","26278"
"79585","26157"
"1963","25872"
"630","25767"
"1359","25706"
"1379","25688"
"2111","25670"
"1288","25599"
"73066","25321"
"1897","25210"
"1631","25191"
"2162","25044"
"1582","24973"
"2253","24959"
"968","24934"
"5067","24913"
"4337","24570"
"2256","24447"
"1807","24364"
"2414","24148"
"3884","24122"
"1764","24040"
"2504","23918"
"2851","23828"
"1637","23690"
"5204","23346"
"3732","23330"
"3333","23298"
"2402","23282"
"4804","23141"
"1720","23113"
"72902","22988"
"2502","22979"
"1868","22956"
"2105","22873"
"1404","22718"
"1439","22630"
"1819","22594"
"1578","22375"
"1331","21878"
"4706","21792"
"2043","21745"
"73053","21631"
"105583","21618"
"1227","21474"
"4791","21469"
"1117","21436"
"2904","21423"
"4493","21354"
"3723","21318"
"4793","21254"
"1340","21137"
"3690","21117"
"2665","21033"
"3591","21016"
"60","20922"
"3122","20876"
"1438","20874"
"103694","20764"
"73063","20739"
"92313","20670"
"1498","20498"
"73072","20407"
"941","20348"
"2334","20319"
"4144","20055"
"1541","20050"
"1390","19984"
"1387","19922"
"4547","19902"
"2427","19884"
"1811","19791"
"2159","19766"
"4556","19735"
"445","19693"
"2669","19690"
"106609","19667"
"2034","19654"
"1625","19643"
"1348","19585"
"1875","19534"
"2376","19492"
"3683","19459"
"3541","19442"
"2848","19337"
"387","19208"
"326","18971"
"979","18947"
"1690","18911"
"4624","18892"
"107308","18808"
"2619","18797"
"1213","18768"
"2151","18628"
"1904","18412"
"3617","18376"
"108494","18283"
"2089","18209"
"1105","18055"
"393","18048"
"2112","18014"
"2699","17976"
"2435","17874"
"1317","17823"
"1357","17766"
"2781","17755"
"105598","17736"
"2143","17518"
"1877","17408"
"2115","17403"
"5164","17376"
"2101","17368"
"813","17287"
"73110","17266"
"4510","17254"
"4928","17251"
"1888","17237"
"2885","17218"
"2184","17204"
"3249","17203"
"3776","17092"
"4719","17046"
"3889","17014"
"4450","17009"
"103733","17004"
"1938","16952"
"1781","16944"
"2820","16941"
"3137","16911"
"4619","16876"
"873","16833"
"2412","16816"
"211","16773"
"1768","16653"
"1767","16394"
"1432","16364"
"2255","16284"
"2795","16273"
"4201","16181"
"2375","16180"
"1572","16172"
"4290","16171"
"23001","16165"
"3306","16074"
"4245","16067"
"3903","16032"
"1233","16021"
"4715","15977"
"626","15876"
"4617","15860"
"3218","15757"
"2724","15742"
"1064","15727"
"1887","15713"
"2221","15678"
"4561","15674"
"2073","15660"
"3583","15620"
"2365","15614"
"1557","15600"
"1333","15557"
"1770","15512"
"1948","15463"
"4378","15463"
"2257","15253"
"1320","15205"
"776","15200"
"2329","15108"
"72965","15088"
"3461","15049"
"974","15019"
"2897","15011"
"4043","14926"
"257","14917"
"1154","14790"
"2881","14784"
"1347","14767"
"1618","14760"
"1838","14643"
"3865","14570"
